year;state;medicaid_federal;medicaid_total;all_spending_federal;all_spending_total;medicaid_state;all_spending_state
2008;Alabama;2899;4400;6291;19840;1501;13549
2008;Alaska;612;971;2314;11656;359;9342
2008;Arizona;3815;5646;7820;25247;1831;17427
2008;Arkansas;2494;3431;4806;16899;937;12093
2008;California;24857;38291;56211;194276;13434;138065
2008;Colorado;1720.625;3625.829;4738.747;25128.007;1905.204;20389.26
2008;Connecticut;0;4265;2116.958556;24270.8291919999;4265;22153.8706359999
2008;Delaware;497;991;1113;8621;494;7508
2008;Florida;8114;14922;18754;64379;6808;45625
2008;Georgia;4488;7251;10267.9;38493.8;2763;28225.9
2008;Hawaii;740;1245;1760;11160;505;9400
2008;Idaho;847.5;1301.2;2005.3;5932.7;453.7;3927.4
2008;Illinois;6495.65713;13823.35620648;11072.64455392;44565.51106187;7327.69907648;33492.86650795
2008;Indiana;3335;5252;7818;24239;1917;16421
2008;Iowa;1641;2892;4565;16129;1251;11564
2008;Kansas;1395;2372;3522;12689;977;9167
2008;Kentucky;3362;4905;6720;22995;1543;16275
2008;Louisiana;4278;5780;12882.602;28887.625;1502;16005.023
2008;Maine;1319;2047;2182;7427;728;5245
2008;Maryland;2828;5625;6561;30408;2797;23847
2008;Massachusetts;0;8246.6;2525.3;43806.4;8246.6;41281.1
2008;Michigan;5680;9750;12659.9;43981.8;4070;31321.9
2008;Minnesota;3252;6440;6264;28446;3188;22182
2008;Mississippi;2628.7;3492;6434.4;15539.8;863.3;9105.4
2008;Missouri;3005;6667;5632;21432;3662;15800
2008;Montana;530.6;752.1;1645.6;5356.6;221.5;3711
2008;Nebraska;890;1544;2411;8711;654;6300
2008;Nevada;684.4;1139.072721;1779.70719027;9239.41489534;454.672721;7459.70770507
2008;New Hampshire;615;1250;1498;4807;635;3309
2008;New Jersey;4640;9508;8851;48704;4868;39853
2008;New Mexico;2127;2974;4506;14207;847;9701
2008;New York;19102.024;31040.404;34679.804;116055.696;11938.38;81375.892
2008;North Carolina;6395;10994;10914;41588;4599;30674
2008;North Dakota;352;544;1241;3597;192;2356
2008;Ohio;2480;13164;9655;56763;10684;47108
2008;Oklahoma;2354;3643;9030.1;20729.5;1289;11699.4
2008;Oregon;1902;3097;4625;22174;1195;17549
2008;Pennsylvania;9596;17785;18037;58696;8189;40659
2008;Puerto Rico;;0;0;0;;0
2008;Rhode Island;933;1837;1939.1;7118.1;904;5179
2008;South Carolina;3006;4383;6654;20787;1377;14133
2008;South Dakota;440;701;1182.1;3217.3;261;2035.2
2008;Tennessee;4675;7497;9343;26033;2822;16690
2008;Texas;3607;6227;25023;81097;2620;56074
2008;Utah;1059;1578;2503;11323;519;8820
2008;Vermont;595.197372237657;1003.19737223766;1312;5308;408;3996
2008;Virginia;2586.630815;5342.630887;6342.082735;35330.009512;2756.000072;28987.926777
2008;Washington;3219;6223;6678;31731.8;3004;25053.8
2008;West Virginia;1633;2261;3287;18710;628;15423
2008;Wisconsin;2896.249;4863.502;7534.33;36089.01;1967.253;28554.68
2008;Wyoming;257;504;476;4958;247;4482
2009;Alabama;3567;5048;7246;19737;1481;12491
2009;Alaska;682;1018;3007;12582;336;9575
2009;Arizona;5971;7972;10240;27229;2001;16989
2009;Arkansas;2625;3577;5425;18193;952;12768
2009;California;27990;40235;73090;195476;12245;122386
2009;Colorado;2176.102;4052.364;6446.807;28805.63;1876.262;22358.823
2009;Connecticut;0;5382;1859.9;19298;5382;17438.1
2009;Delaware;539;1077;1256;8741;538;7485
2009;Florida;9891.817187;16201.582395;19724.621774;60673.540699;6309.765208;40948.918925
2009;Georgia;5365;7619;11472.612;40182.732;2254;28710.12
2009;Hawaii;884;1331;1919;11822;447;9903
2009;Idaho;1013;1441;2305;6316;428;4011
2009;Illinois;7563;14348;14262;57740;6785;43478
2009;Indiana;3986;5595;9060;25719;1609;16659
2009;Iowa;1889;3132;5201;17477;1243;12276
2009;Kansas;1522;2423;3795;13960;901;10165
2009;Kentucky;4045;5402;8233;24060;1357;15827
2009;Louisiana;4793;6169;10996.19;28043.722;1376;17047.532
2009;Maine;1734;2416;2778;8092;682;5314
2009;Maryland;3545.998679;6161.29708;7758.88788162;31932.51960538;2615.298401;24173.63172376
2009;Massachusetts;0;8679.4;3304.501;46383.093;8679.4;43078.592
2009;Michigan;7359;10542;17073.5;45824.9;3183;28751.4
2009;Minnesota;4118;7164;7563;29898;3046;22335
2009;Mississippi;3256.3;4307.7;7794.3;17382.2;1051.4;9587.9
2009;Missouri;5603;8618.3;8484;24226.8;3015.3;15742.8
2009;Montana;642.3;841.3;1826.6;5525.2;199;3698.6
2009;Nebraska;1009;1608;2566;9153;599;6587
2009;Nevada;856.3;1521;2525;9492;664.7;6967
2009;New Hampshire;706;1318;1680;4976;612;3296
2009;New Jersey;5323;9386;11384;47287;4063;35903
2009;New Mexico;2430;3186;4843;15379;756;10536
2009;New York;21303;32428;34668;121572;11125;86904
2009;North Carolina;7690;11819;15108.1;47316.5;4129;32208.4
2009;North Dakota;384;554;1362;3941;170;2579
2009;Ohio;1463.743235;11879.827944;11461.962489;57793.580233;10416.084709;46331.617744
2009;Oklahoma;2432;3831;9708;21635;1399;11927
2009;Oregon;2425;3505;5914;24523;1080;18609
2009;Pennsylvania;11212;18948;20825;62644;7736;41819
2009;Puerto Rico;;0;0;0;;0
2009;Rhode Island;1100;1831;2271;7354;731;5083
2009;South Carolina;3354;4577;7068;20766;1223;13698
2009;South Dakota;529;768;1397;3549;239;2152
2009;Tennessee;4514;7389;11032;29072;2875;18040
