year,registrations,state,legislators,abbreviation,legislators_to_registrations
2008,31,Alabama,140,AL,4.516129032
2008,22,Alaska,60,AK,2.727272727
2008,48,Arizona,90,AZ,1.875
2008,36,Arkansas,135,AR,3.75
2008,144,California,120,CA,0.8333333333
2008,32,Colorado,100,CO,3.125
2008,73,Connecticut,187,CT,2.561643836
2008,17,Delaware,62,DE,3.647058824
2008,125,Florida,160,FL,1.28
2008,79,Georgia,236,GA,2.987341772
2008,25,Hawaii,76,HI,3.04
2008,26,Idaho,105,ID,4.038461538
2008,88,Illinois,177,IL,2.011363636
2008,40,Indiana,150,IN,3.75
2008,72,Iowa,150,IA,2.083333333
2008,32,Kansas,165,KS,5.15625
2008,36,Kentucky,138,KY,3.833333333
2008,151,Louisiana,144,LA,0.9536423841
2008,26,Maine,186,ME,7.153846154
2008,52,Maryland,188,MD,3.615384615
2008,92,Massachusetts,200,MA,2.173913043
2008,50,Michigan,148,MI,2.96
2008,53,Minnesota,201,MN,3.79245283
2008,48,Mississippi,174,MS,3.625
2008,54,Missouri,197,MO,3.648148148
2008,15,Montana,150,MT,10
2008,25,Nebraska,49,NE,1.96
2008,40,Nevada,63,NV,1.575
2008,34,New Hampshire,424,NH,12.47058824
2008,142,New Jersey,120,NJ,0.8450704225
2008,30,New Mexico,112,NM,3.733333333
2008,210,New York,212,NY,1.00952381
2008,55,North Carolina,170,NC,3.090909091
2008,15,North Dakota,141,ND,9.4
2008,72,Ohio,132,OH,1.833333333
2008,44,Oklahoma,149,OK,3.386363636
2008,54,Oregon,90,OR,1.666666667
2008,13,Pennsylvania,253,PA,19.46153846
2008,16,Rhode Island,113,RI,7.0625
2008,39,South Carolina,170,SC,4.358974359
2008,22,South Dakota,105,SD,4.772727273
2008,65,Tennessee,132,TN,2.030769231
2008,126,Texas,181,TX,1.436507937
2008,23,Utah,104,UT,4.52173913
2008,41,Vermont,180,VT,4.390243902
2008,45,Virginia,140,VA,3.111111111
2008,34,Washington,147,WA,4.323529412
2008,46,West Virginia,134,WV,2.913043478
2008,36,Wisconsin,132,WI,3.666666667
2008,14,Wyoming,90,WY,6.428571429
2009,43,Alabama,140,AL,3.255813953
2009,15,Alaska,60,AK,4
2009,51,Arizona,90,AZ,1.764705882
2009,40,Arkansas,135,AR,3.375
2009,10,California,120,CA,12
2009,37,Colorado,100,CO,2.702702703
2009,69,Connecticut,187,CT,2.710144928
2009,18,Delaware,62,DE,3.444444444
2009,96,Florida,160,FL,1.666666667
2009,75,Georgia,236,GA,3.146666667
2009,21,Hawaii,76,HI,3.619047619
2009,26,Idaho,105,ID,4.038461538
2009,86,Illinois,177,IL,2.058139535
2009,54,Indiana,150,IN,2.777777778
2009,57,Iowa,150,IA,2.631578947
2009,28,Kansas,165,KS,5.892857143
2009,35,Kentucky,138,KY,3.942857143
2009,49,Louisiana,144,LA,2.93877551
2009,29,Maine,186,ME,6.413793103
2009,31,Maryland,188,MD,6.064516129
2009,92,Massachusetts,200,MA,2.173913043
2009,47,Michigan,148,MI,3.14893617
2009,55,Minnesota,201,MN,3.654545455
2009,46,Mississippi,174,MS,3.782608696
2009,55,Missouri,197,MO,3.581818182
2009,11,Montana,150,MT,13.63636364
2009,21,Nebraska,49,NE,2.333333333
2009,32,Nevada,63,NV,1.96875
2009,29,New Hampshire,424,NH,14.62068966
2009,145,New Jersey,120,NJ,0.8275862069
2009,26,New Mexico,112,NM,4.307692308
2009,342,New York,212,NY,0.6198830409
2009,46,North Carolina,170,NC,3.695652174
2009,18,North Dakota,141,ND,7.833333333
2009,75,Ohio,132,OH,1.76
2009,36,Oklahoma,149,OK,4.138888889
2009,54,Oregon,90,OR,1.666666667
2009,22,Pennsylvania,253,PA,11.5
2009,17,Rhode Island,113,RI,6.647058824
2009,39,South Carolina,170,SC,4.358974359
2009,21,South Dakota,105,SD,5
2009,60,Tennessee,132,TN,2.2
