year,lobbyists,state,legislators,abbreviation,lobbyists_to_legislators
2008,17,Alaska,60,AK,0.2833333333
2009,12,Alaska,60,AK,0.2
2010,10,Alaska,60,AK,0.1666666667
2011,12,Alaska,60,AK,0.2
2012,6,Alaska,60,AK,0.1
2013,8,Alaska,60,AK,0.1333333333
2014,12,Alaska,60,AK,0.2
2015,6,Alaska,60,AK,0.1
2016,7,Alaska,60,AK,0.1166666667
2017,4,Alaska,60,AK,0.06666666667
2008,25,Alabama,140,AL,0.1785714286
2009,34,Alabama,140,AL,0.2428571429
2010,26,Alabama,140,AL,0.1857142857
2011,32,Alabama,140,AL,0.2285714286
2012,32,Alabama,140,AL,0.2285714286
2013,33,Alabama,140,AL,0.2357142857
2014,42,Alabama,140,AL,0.3
2015,38,Alabama,140,AL,0.2714285714
2016,29,Alabama,140,AL,0.2071428571
2017,28,Alabama,140,AL,0.2
2008,32,Arkansas,135,AR,0.237037037
2009,32,Arkansas,135,AR,0.237037037
2010,29,Arkansas,135,AR,0.2148148148
2011,33,Arkansas,135,AR,0.2444444444
2012,40,Arkansas,135,AR,0.2962962963
2013,42,Arkansas,135,AR,0.3111111111
2014,43,Arkansas,135,AR,0.3185185185
2015,40,Arkansas,135,AR,0.2962962963
2016,31,Arkansas,135,AR,0.2296296296
2017,29,Arkansas,135,AR,0.2148148148
2008,41,Arizona,90,AZ,0.4555555556
2009,40,Arizona,90,AZ,0.4444444444
2010,38,Arizona,90,AZ,0.4222222222
2011,40,Arizona,90,AZ,0.4444444444
2012,37,Arizona,90,AZ,0.4111111111
2013,42,Arizona,90,AZ,0.4666666667
2014,42,Arizona,90,AZ,0.4666666667
2015,46,Arizona,90,AZ,0.5111111111
2016,67,Arizona,90,AZ,0.7444444444
2017,33,Arizona,90,AZ,0.3666666667
2008,86,California,120,CA,0.7166666667
2009,9,California,120,CA,0.075
2010,80,California,120,CA,0.6666666667
2011,102,California,120,CA,0.85
2012,98,California,120,CA,0.8166666667
2013,105,California,120,CA,0.875
2014,113,California,120,CA,0.9416666667
2015,114,California,120,CA,0.95
2016,123,California,120,CA,1.025
2017,118,California,120,CA,0.9833333333
2008,21,Colorado,100,CO,0.21
2009,25,Colorado,100,CO,0.25
2010,48,Colorado,100,CO,0.48
2011,48,Colorado,100,CO,0.48
2012,103,Colorado,100,CO,1.03
2013,56,Colorado,100,CO,0.56
2014,61,Colorado,100,CO,0.61
2015,61,Colorado,100,CO,0.61
2016,60,Colorado,100,CO,0.6
2017,25,Colorado,100,CO,0.25
2008,56,Connecticut,187,CT,0.2994652406
2009,52,Connecticut,187,CT,0.2780748663
2010,67,Connecticut,187,CT,0.3582887701
2011,62,Connecticut,187,CT,0.3315508021
2012,65,Connecticut,187,CT,0.3475935829
2013,50,Connecticut,187,CT,0.2673796791
2014,55,Connecticut,187,CT,0.2941176471
2015,47,Connecticut,187,CT,0.2513368984
2016,50,Connecticut,187,CT,0.2673796791
2017,52,Connecticut,187,CT,0.2780748663
2008,12,Delaware,62,DE,0.1935483871
2009,12,Delaware,62,DE,0.1935483871
2010,12,Delaware,62,DE,0.1935483871
2011,18,Delaware,62,DE,0.2903225806
2012,22,Delaware,62,DE,0.3548387097
2013,27,Delaware,62,DE,0.435483871
2014,27,Delaware,62,DE,0.435483871
2015,30,Delaware,62,DE,0.4838709677
2016,21,Delaware,62,DE,0.3387096774
2017,26,Delaware,62,DE,0.4193548387
2008,95,Florida,160,FL,0.59375
2009,79,Florida,160,FL,0.49375
2010,75,Florida,160,FL,0.46875
2011,108,Florida,160,FL,0.675
2012,118,Florida,160,FL,0.7375
2013,116,Florida,160,FL,0.725
2014,105,Florida,160,FL,0.65625
2015,98,Florida,160,FL,0.6125
2016,90,Florida,160,FL,0.5625
2017,92,Florida,160,FL,0.575
2008,64,Georgia,236,GA,0.2711864407
2009,62,Georgia,236,GA,0.2627118644
2010,57,Georgia,236,GA,0.2415254237
2011,64,Georgia,236,GA,0.2711864407
2012,74,Georgia,236,GA,0.313559322
2013,73,Georgia,236,GA,0.3093220339
2014,85,Georgia,236,GA,0.3601694915
2015,84,Georgia,236,GA,0.3559322034
2016,63,Georgia,236,GA,0.2669491525
2017,70,Georgia,236,GA,0.2966101695
2008,23,Hawaii,76,HI,0.3026315789
2009,20,Hawaii,76,HI,0.2631578947
2010,17,Hawaii,76,HI,0.2236842105
2011,21,Hawaii,76,HI,0.2763157895
2012,15,Hawaii,76,HI,0.1973684211
