period_covered,st_abbreviation,st_name,drug_spending,drug_rebates,spending_less_rebates,medicaid_state,medicaid_federal,medicaid_total,all_spending_state,all_spending_federal,all_spending_total,drugs_as_share_of_medicaid,medicaid_as_share_of_all_spending
2016,AK,Alaska,"$108,594,348.62","-$53,673,099.00","$54,921,249.62","$636,190,900.00","$1,066,381,900.00","$1,702,572,800.00","$6,754,772,879.00","$3,277,197,749.00","$10,031,970,628.00",3.23%,16.97%
2016,AL,Alabama,"$667,346,361.34","-$391,980,305.00","$275,366,056.34","$1,961,000,000.00","$4,393,000,000.00","$6,354,000,000.00","$16,203,000,000.00","$9,635,000,000.00","$25,838,000,000.00",4.33%,24.59%
2016,AR,Arkansas,"$339,785,706.81","-$204,345,993.00","$135,439,713.81","$1,478,700,000.00","$5,077,000,000.00","$6,555,700,000.00","$16,562,824,000.00","$7,397,700,000.00","$23,960,524,000.00",2.07%,27.36%
2016,AZ,Arizona,"$1,246,118,343.59","-$604,294,056.00","$641,824,287.59","$2,831,000,000.00","$8,690,000,000.00","$11,521,000,000.00","$25,515,000,000.00","$14,167,000,000.00","$39,682,000,000.00",5.57%,29.03%
2016,CA,California,"$8,004,575,486.94","-$4,277,024,489.00","$3,727,550,997.94","$28,323,000,000.00","$53,337,000,000.00","$81,660,000,000.00","$160,209,000,000.00","$90,690,000,000.00","$250,899,000,000.00",4.56%,32.55%
2016,CO,Colorado,"$908,800,937.46","-$453,282,840.00","$455,518,097.46","$3,603,000,000.00","$5,382,000,000.00","$8,985,000,000.00","$27,210,000,000.00","$9,517,000,000.00","$36,727,000,000.00",5.07%,24.46%
2016,CT,Connecticut,"$1,245,733,707.42","-$791,964,672.00","$453,769,035.42","$3,612,000,000.00","$3,604,000,000.00","$7,216,000,000.00","$25,626,000,000.00","$6,216,000,000.00","$31,842,000,000.00",6.29%,22.66%
2016,DE,Delaware,"$175,553,662.96","-$170,345,039.00","$5,208,623.96","$767,000,000.00","$1,281,000,000.00","$2,048,000,000.00","$8,085,000,000.00","$2,151,000,000.00","$10,236,000,000.00",0.25%,20.01%
2016,FL,Florida,"$2,820,646,171.46","-$1,626,179,490.00","$1,194,466,681.46","$9,734,000,000.00","$13,539,000,000.00","$23,273,000,000.00","$47,013,000,000.00","$25,306,000,000.00","$72,319,000,000.00",5.13%,32.18%
2016,GA,Georgia,"$1,097,466,653.45","-$695,596,172.00","$401,870,481.45","$3,301,000,000.00","$6,623,000,000.00","$9,924,000,000.00","$33,638,000,000.00","$13,896,000,000.00","$47,534,000,000.00",4.05%,20.88%
2016,HI,Hawaii,"$808,768,930.27","-$78,457,160.00","$730,311,770.27","$775,000,000.00","$1,497,000,000.00","$2,272,000,000.00","$11,273,000,000.00","$2,563,000,000.00","$13,836,000,000.00",32.14%,16.42%
2016,IA,Iowa,"$368,033,654.85","-$274,916,079.00","$93,117,575.85","$2,265,000,000.00","$2,997,000,000.00","$5,262,000,000.00","$16,766,000,000.00","$6,328,000,000.00","$23,094,000,000.00",1.77%,22.79%
2016,ID,Idaho,"$188,502,405.72","-$124,418,032.00","$64,084,373.72","$734,000,000.00","$1,203,000,000.00","$1,937,000,000.00","$4,648,900,000.00","$2,686,000,000.00","$7,334,900,000.00",3.31%,26.41%
