"jurisdiction","count"
"AK",620
"AL",1930
"AR",3435
"AZ",14618
"CA",20546
"CO",3836
"CT",3593
"DE",1433
"FL",14799
"GA",5469
"HI",1278
"IA",3091
"ID",1492
"IL",24794
"IN",5297
"KS",2100
"KY",2632
"LA",4250
"MA",7719
"MD",4136
"ME",601
"MI",18074
"MN",5682
"MO",7035
"MS",1673
"MT",1182
"NC",6055
"ND",1428
"NE",1223
"NH",1393
"NJ",17568
"NM",1921
"NV",428
"NY",47487
"OH",5992
"OK",2390
"OR",3536
"PA",1425
"RI",1795
"SC",1610
"SD",1576
"TN",2528
"TX",8918
"UT",2818
"VA",3096
"VT",2063
"WA",3089
"WI",2505
"WV",1359
"WY",550
